date,strategy_return,benchmark_return,exposure
2026-04-22,-0.0038070411102331,-0.0073576663008461,0.4535672211477196
2026-04-23,-0.0038070411102331,-0.0073576663008461,0.5035214717674423
2026-04-24,-0.0038070411102331,-0.0073576663008461,0.4989006062452451
2026-04-25,-0.0038070411102331,-0.0073576663008461,0.4990522538135722
2026-04-27,-0.0038070411102331,-0.0073576663008461,0.5029855147494664
2026-04-28,-0.0038070411102331,-0.0073576663008461,0.0562546675524379
2026-04-29,-0.0001550048288933,-0.0073576663008461,0.1780189796533957
2026-04-30,-0.0001550048288933,-0.0073576663008461,0.1780189796533957
2026-05-01,-0.0001550048288933,-0.0073576663008461,0.1804059302466308
2026-05-02,-0.0001550048288933,-0.0073576663008461,0.1804059302466308
2026-05-05,-0.0001550048288933,-0.0073576663008461,0.1804059302466308
2026-05-06,-0.0001550048288933,-0.0073576663008461,0.1196531176031762
2026-05-08,-0.0001550048288933,-0.0073576663008461,0.1362919616870146
2026-05-09,-0.0001550048288933,-0.0073576663008461,0.191298515555146
2026-05-12,-0.00015500482889330147,-0.007357666300846111,0.1359267437213552
