date,flip,pnl,pnl_inv,exposure,confidence,dispersion,return,alpha,pnl_gap,pnl_intraday,gap_share,intraday_share,flip_outcome,active_assets,regime_bucket
2026-04-22,True,-0.0037023239568473,0.0037023239568473,0.4535672211477196,0.2305878738675701,0.3605316487944859,0.0046186317310011,-0.0056566660415513,0.0053431736918099,-0.000145701069655,0.9734552023890316,0.0265447976109685,,,
2026-04-23,False,1.31902951176105e-05,-1.31902951176105e-05,0.5035214717674423,0.2407060650083772,0.0443669632310133,0.0022523090275935,0.0038625305984154,0.0005287245434096,-0.0001215633163874,0.8130623007087986,0.1869376992912013,,,
2026-04-24,True,-0.0001028313702932,0.0001028313702932,0.4989006062452451,0.2277655655818154,0.0536052343347248,0.0019086120860399,-0.0029368230519915,0.0041466940407012,0.0026811872848414,0.6073178256904834,0.3926821743095165,,,
2026-04-27,False,0.000434693006509,-0.000434693006509,0.5029855147494664,0.251931068150751,0.0666483485881416,-0.0010768186936328,-0.0013433369692864,-0.0047881105044457,0.0002564392525343,0.9491650861051508,0.0508349138948492,CORRECT_NO_FLIP,2.0,
2026-04-28,False,0.0006531696853641,-0.0006531696853641,0.0562546675524379,0.056721644059024,0.0082306322348114,0.0002451555512765,0.0053625525102009,9.26387270636135e-05,9.999941070178968e-05,0.4808950508877424,0.5191049491122576,CORRECT_NO_FLIP,2.0,LOW
2026-04-29,False,0.0023566032923421,-0.0023566032923421,0.1780189796533957,0.4512874733479166,0.2037679406296886,0.00081353738912,0.0059309343480444,0.0002694490166407,0.000276308841184,0.4937153222395671,0.506284677760433,CORRECT_NO_FLIP,1.0,HIGH
2026-04-30,False,0.0023566032923421,-0.0023566032923421,0.1780189796533957,0.4512874733479166,0.2037679406296886,0.00081353738912,0.0059309343480444,0.0002694490166407,0.000276308841184,0.4937153222395671,0.506284677760433,CORRECT_NO_FLIP,1.0,HIGH
2026-05-01,True,-0.0027251560914496,0.0027251560914496,0.1804059302466308,0.4569439694470644,0.1942773367376498,-0.0010173440550136,-0.0067869195043134,-0.0018038812656633,0.0015019227480114,0.5456709648247081,0.4543290351752919,CORRECT,1.0,HIGH
2026-05-02,True,-0.0027251560914496,0.0027251560914496,0.1804059302466308,0.4569439694470644,0.1942773367376498,-0.0010173440550136,-0.0067869195043134,-0.0018038812656633,0.0015019227480114,0.5456709648247081,0.4543290351752919,CORRECT,1.0,HIGH
2026-05-05,True,-0.0027251560914496,0.0027251560914496,0.1804059302466308,0.4569439694470644,0.1942773367376498,-0.0010173440550136,-0.0067869195043134,-0.0018038812656633,0.0015019227480114,0.5456709648247081,0.4543290351752919,CORRECT,1.0,HIGH
2026-05-06,True,-0.005842468640716736,0.005842468640716736,0.12068679019608194,0.36611798761167674,0.24969815679997873,-0.0012195175111670193,-0.008304339711129668,-0.00012079636588358423,-0.000500792551939706,0.19433481263886543,0.8056651873611346,CORRECT,1.0,HIGH
